epoch,train_loss,val_loss,auc,eer
1,0.14811653126962482,0.8081300009380687,0.7449553719008265,0.3145454545454546
2,0.016310444540682843,1.2667325340617788,0.639203305785124,0.4254545454545454
3,0.0124250834654297,2.1508009763197466,0.3250710743801653,0.6809090909090909
4,0.005129390832258981,0.5088370236483487,0.9228760330578514,0.16
5,0.011531416756016287,0.9587394111806696,0.6002314049586777,0.42272727272727273
6,0.002416980449951635,0.8846521312540228,0.7212396694214875,0.31545454545454543
7,0.0006387897945784392,0.8650500254197554,0.7008132231404958,0.34363636363636363
8,0.00011621432218817063,1.1701732696186413,0.5705884297520661,0.5118181818181817
9,5.657963468944548e-05,1.221391624103893,0.5563504132231405,0.48818181818181816
10,0.0061841201029462604,1.9576707597212357,0.40272066115702476,0.6654545454545455
11,0.0019204347039604645,3.828788192055442,0.20763636363636365,0.7563636363636363
12,0.0020933703232202043,2.2738001719388095,0.37989421487603303,0.6472727272727272
13,0.004344337179784568,0.9295608945326371,0.4778710743801653,0.5654545454545454
14,0.003660389367115303,0.5364851405403831,0.8042611570247933,0.25545454545454543
15,0.00018553285403124226,0.7940580264004794,0.6528462809917356,0.41727272727272724
16,7.601471586895059e-05,0.5810975105112249,0.8196066115702481,0.22909090909090907
17,0.00010391368880928811,1.2763341266458685,0.446803305785124,0.6454545454545455
18,4.7191088909709255e-05,0.962215654633262,0.5948595041322314,0.48363636363636364
19,3.705841746853945e-05,0.7107584784247658,0.8041785123966941,0.24454545454545454
20,3.2267428377549966e-05,1.3294225922497835,0.5376280991735536,0.5654545454545454
